,Instance,Height,Time,Run
184,34.0,40.0,0.707,0.0
185,34.0,40.0,0.66,1.0
186,34.0,40.0,0.726,2.0
187,34.0,40.0,0.695,3.0
188,34.0,40.0,0.729,4.0
189,34.0,,0.7034,
190,36.0,40.0,0.973,0.0
191,36.0,40.0,0.961,1.0
192,36.0,40.0,1.044999,2.0
193,36.0,40.0,1.014999,3.0
194,36.0,40.0,0.984,4.0
195,36.0,,0.9955996,
196,37.0,0.0,300.0,0.0
197,37.0,,300.0,
198,38.0,0.0,300.0,0.0
199,38.0,,300.0,
200,39.0,60.0,68.817,0.0
201,39.0,60.0,72.831,1.0
202,39.0,60.0,71.542,2.0
203,39.0,60.0,72.316,3.0
204,39.0,60.0,73.128,4.0
205,39.0,,71.7268,
206,40.0,0.0,300.0,0.0
207,40.0,,300.0,
